model_name,N_predict,model_used,initial_evaluation_success_rate,predictive_evaluation_success_rate,brier_score,accuracy,fpr,fnr,tpr,tnr
/model_progression/progressionmodel_2M_1560000,200,XGBoost,0.345,0.62,0.48256485084453743,0.335,0.215,0.45,0.15,0.185
/model_progression/progressionmodel_2M_1560000,200,proportional,0.345,0.62,0.31122500000000086,0.46129999999999993,0.132055,0.406645,0.21335500000000002,0.247945
/model_progression/progressionmodel_2M_1600000,200,Measurement_Layout_AAIO,0.345,0.64,0.2590632751737226,0.5800000000000001,0.03,0.39,0.25,0.33
/model_progression/progressionmodel_2M_1600000,200,XGBoost,0.345,0.64,0.5219568544045978,0.29,0.225,0.485,0.14,0.15
/model_progression/progressionmodel_2M_1600000,200,proportional,0.345,0.64,0.3174250000000009,0.4567,0.124355,0.41894500000000007,0.221055,0.23564500000000002
/model_progression/progressionmodel_2M_1640000,200,Measurement_Layout_AAIO,0.345,0.7,0.2801113871123867,0.54,0.02,0.44,0.26,0.28
/model_progression/progressionmodel_2M_1640000,200,XGBoost,0.345,0.7,0.490698027296894,0.34,0.175,0.485,0.19,0.15
/model_progression/progressionmodel_2M_1640000,200,proportional,0.345,0.7,0.3360250000000007,0.43757000000000007,0.10392000000000001,0.45851,0.24149,0.19607999999999998
/model_progression/progressionmodel_2M_1680000,200,Measurement_Layout_AAIO,0.345,0.61,0.2592791497789768,0.5700000000000001,0.05,0.38,0.23,0.34
/model_progression/progressionmodel_2M_1680000,200,XGBoost,0.345,0.61,0.505516184818298,0.305,0.23,0.465,0.135,0.17
/model_progression/progressionmodel_2M_1680000,200,proportional,0.345,0.61,0.30812500000000087,0.46558,0.134915,0.399505,0.21049500000000002,0.255085
/model_progression/progressionmodel_2M_1720000,200,Measurement_Layout_AAIO,0.345,0.66,0.25524896653548707,0.56,0.03,0.41,0.25,0.31
/model_progression/progressionmodel_2M_1720000,200,XGBoost,0.345,0.66,0.5263261522034008,0.285,0.21,0.505,0.155,0.13
/model_progression/progressionmodel_2M_1720000,200,proportional,0.345,0.66,0.3236250000000009,0.45042999999999994,0.11749000000000001,0.43208,0.22791999999999998,0.22251
/model_progression/progressionmodel_2M_1760000,200,Measurement_Layout_AAIO,0.345,0.62,0.2515435369114545,0.5700000000000001,0.045,0.385,0.235,0.335
/model_progression/progressionmodel_2M_1760000,200,XGBoost,0.345,0.62,0.49627920272923803,0.315,0.225,0.46,0.14,0.175
/model_progression/progressionmodel_2M_1760000,200,proportional,0.345,0.62,0.31122500000000086,0.46204,0.131685,0.406275,0.213725,0.248315
